stcode11,dtcode11,sdtcode11,stname,dtname,sdtname,subdt_lgd,dist_lgd,state_lgd,centroid_x,centroid_y,lat_0_5,lon_0_5,lat_0_25,lon_0_25,lat_0_1,lon_0_1,monsoon_months
2,23,88,HIMACHAL PRADESH,Chamba,Bhattiyat,88,16,2,76.01397535,32.44458473,32.5,76,32.5,76,32.4,76,"[6,7,8]"
2,23,92,HIMACHAL PRADESH,Chamba,Bharmour,92,16,2,76.60055848,32.49444741,32.5,76.5,32.5,76.5,32.5,76.6,"[6,7,8]"
2,23,90,HIMACHAL PRADESH,Chamba,Chamba,90,16,2,76.22262541,32.53797768,32.5,76,32.5,76.25,32.5,76.2,"[6,7,8]"
2,23,84,HIMACHAL PRADESH,Chamba,Churah,84,16,2,76.22352111,32.82422729,33,76,32.75,76.25,32.8,76.2,"[6,7,8]"
2,23,87,HIMACHAL PRADESH,Chamba,Dalhousie,87,16,2,75.93425585,32.54383785,32.5,76,32.5,76,32.5,75.9,"[6,7,8]"
2,23,83,HIMACHAL PRADESH,Chamba,Pangi,83,16,2,76.52916325,33.01469718,33,76.5,33,76.5,33,76.5,"[6,7,8]"
2,23,85,HIMACHAL PRADESH,Chamba,Saluni,85,16,2,75.96392857,32.80045743,33,76,32.75,76,32.8,76,"[6,7,8]"
2,23,89,HIMACHAL PRADESH,Chamba,Sihunta,89,16,2,76.10901941,32.32812596,32.5,76,32.25,76,32.3,76.1,"[6,7,8]"
2,34,197,HIMACHAL PRADESH,Kinnaur,Kalpa,197,19,2,78.24274364,31.57205958,31.5,78,31.5,78.25,31.6,78.2,"[6,7,8]"
2,34,198,HIMACHAL PRADESH,Kinnaur,Nichar,198,19,2,77.97971291,31.60338185,31.5,78,31.5,78,31.6,78,"[6,7,8]"
2,26,121,HIMACHAL PRADESH,Kullu,Ani,121,20,2,77.42124055,31.46255094,31.5,77.5,31.5,77.5,31.5,77.4,"[6,7,8]"
2,26,120,HIMACHAL PRADESH,Kullu,Banjar,120,20,2,77.45604096,31.64488613,31.5,77.5,31.75,77.5,31.6,77.5,"[6,7,8]"
2,26,,HIMACHAL PRADESH,Kullu,Bhuntar,6887,20,2,77.4745078,31.98153478,32,77.5,32,77.5,32,77.5,"[6,7,8]"
2,26,118,HIMACHAL PRADESH,Kullu,Kullu,118,20,2,77.08487315,32.04746075,32,77,32,77,32,77.1,"[6,7,8]"
2,26,117,HIMACHAL PRADESH,Kullu,Manali,117,20,2,77.19120503,32.25423075,32.5,77,32.25,77.25,32.3,77.2,"[6,7,8]"
2,26,122,HIMACHAL PRADESH,Kullu,Nirmand,122,20,2,77.58222175,31.50112419,31.5,77.5,31.5,77.5,31.5,77.6,"[6,7,8]"
2,26,119,HIMACHAL PRADESH,Kullu,Sainj,119,20,2,77.49911926,31.78170059,32,77.5,31.75,77.5,31.8,77.5,"[6,7,8]"
2,27,134,HIMACHAL PRADESH,Mandi,Aut,134,22,2,77.14364641,31.76209707,32,77,31.75,77.25,31.8,77.1,"[6,7,8]"
2,27,131,HIMACHAL PRADESH,Mandi,Baldwara,131,22,2,76.77574816,31.56579009,31.5,77,31.5,76.75,31.6,76.8,"[6,7,8]"
2,27,,HIMACHAL PRADESH,Mandi,Balh,6947,22,2,76.90439448,31.59551829,31.5,77,31.5,77,31.6,76.9,"[6,7,8]"
2,27,133,HIMACHAL PRADESH,Mandi,Mandi,133,22,2,76.99560132,31.72904635,31.5,77,31.75,77,31.7,77,"[6,7,8]"
2,27,137,HIMACHAL PRADESH,Mandi,Chachyot,137,22,2,77.06498702,31.55914335,31.5,77,31.5,77,31.6,77.1,"[6,7,8]"
2,27,127,HIMACHAL PRADESH,Mandi,Dharmpur,127,22,2,76.72997964,31.78759768,32,76.5,31.75,76.75,31.8,76.7,"[6,7,8]"
2,27,124,HIMACHAL PRADESH,Mandi,Jogindarnagar,124,22,2,76.78930922,31.9425487,32,77,32,76.75,31.9,76.8,"[6,7,8]"
2,27,139,HIMACHAL PRADESH,Mandi,Karsog,139,22,2,77.20801893,31.3503806,31.5,77,31.25,77.25,31.4,77.2,"[6,7,8]"
2,27,128,HIMACHAL PRADESH,Mandi,Kotli,128,22,2,76.86672391,31.7676932,32,77,31.75,76.75,31.8,76.9,"[6,7,8]"
2,27,125,HIMACHAL PRADESH,Mandi,Lad Bharol,125,22,2,76.7107882,31.94685337,32,76.5,32,76.75,31.9,76.7,"[6,7,8]"
2,27,138,HIMACHAL PRADESH,Mandi,Nihri,138,22,2,77.01362051,31.385715,31.5,77,31.5,77,31.4,77,"[6,7,8]"
2,27,123,HIMACHAL PRADESH,Mandi,Padhar,123,22,2,76.92858496,31.92062335,32,77,32,77,31.9,76.9,"[6,7,8]"
2,27,126,HIMACHAL PRADESH,Mandi,Sandhol,126,22,2,76.66359804,31.83783944,32,76.5,31.75,76.75,31.8,76.7,"[6,7,8]"
