latitude,longitude,index
13.5,93,1
13.25,93,1
12.75,92.75,1
12.5,92.75,1
12.25,92.75,1
13,93,1
12.5,93,1
12.75,93,1
13.5,94.25,1
13,92.75,1
13.25,92.75,1
13.75,93,1
12.25,93.75,1
13.5,92.75,1
12.25,94,1
12.75,92.5,1
13.5,93.25,1
12.5,92.5,1
13.75,93.25,1
13,92.5,1
13.25,93.25,1
13.25,94.25,1
13.75,92.75,1
12.5,93.75,1
13,93.25,1
13.5,94.5,1
12.5,94,1
13.5,94,1
13.25,92.5,1
12.75,93.25,1
13.75,94.25,1
12,93.75,1
12,94,1
13.25,94.5,1
13.25,94,1
13.5,92.5,1
14,93,1
12.25,93.5,1
14,93.25,1
13.75,94.5,1
13.75,94,1
12.25,94.25,1
12.5,93.5,1
13.75,93.5,1
13.5,93.5,1
12.75,92.25,1
14,92.75,1
12.5,92.25,1
13.75,92.5,1
13.25,93.5,1
13,92.25,1
13,94.25,1
12.5,94.25,1
12,92.75,2
12,93,2
11.75,92.75,2
10.75,92.5,2
10.5,92.5,2
11.5,92.25,2
11,92.25,2
11.5,92.75,2
12.25,93,2
11.25,92.75,2
11.75,92.5,2
11.5,92.5,2
11.75,93,2
12,92.5,2
11,92.75,2
11,92.5,2
10.75,92.25,2
11.25,92.5,2
10.5,92.25,2
12.25,93.25,2
11.75,92.25,2
10.75,92.75,2
12.25,92.5,2
11.75,93.25,2
12,93.25,2
10.5,92.75,2
11.5,92,2
11,92,2
12.5,93.25,2
11.75,92,2
10.25,92.5,2
11.25,92.25,2
11.5,93,2
11.25,93,2
12,92.25,2
11,93,2
10.75,92,2
10.25,92.25,2
11.5,93.25,2
11.25,92,2
10.25,92.75,2
10.5,92,2
12.25,92.25,2
12,93.5,2
10.75,93,2
11.75,93.5,2
10.5,93,2
11.5,91.75,2
8,93.5,3
8.25,93.25,3
8.25,93.5,3
9.25,92.75,3
8.5,93,3
8,93.25,3
8.25,93,3
8.5,93.5,3
8.5,93.75,3
9,92.75,3
8,93.75,3
8.25,93.75,3
9.25,93,3
8.5,93.25,3
8.75,93.5,3
9.25,92.5,3
9,93,3
8.75,93.75,3
9.5,92.75,3
8,93,3
9,92.5,3
8.5,92.75,3
8.75,93,3
8.25,92.75,3
9.5,93,3
8.75,93.25,3
9.5,92.5,3
8.5,94,3
8.75,92.75,3
8.25,94,3
8,94,3
8,92.75,3
9.25,93.25,3
9,93.5,3
8.75,94,3
8.75,92.5,3
9,93.75,3
9,93.25,3
15.75,77.25,4
15.75,77.5,4
15.75,77.75,4
15.75,78,4
15.5,77,4
15.5,77.25,4
15.5,77.5,4
15.5,77.75,4
15.5,78,4
15.25,77.25,4
15.25,77.5,4
15.75,78.25,5
15.75,78.5,5
15.75,78.75,5
15.5,78.25,5
15.5,78.5,5
15.5,78.75,5
15.25,77.75,5
15.25,78,5
15.25,78.25,5
15.25,78.5,5
16,78.5,5
16,78.75,5
15.75,79,6
15.75,79.25,6
