latitude,longitude,index
9.2,92.7,1
9.2,92.8,1
8.1,93.5,1
8,93.4,1
7.9,93.4,1
13.5,93,2
13.4,92.9,2
13.4,93,2
13.3,92.9,2
13.3,93,2
13.2,92.9,2
13.2,93,2
13.1,92.9,2
13.1,93,2
12.9,92.7,2
12.9,92.9,2
12.8,92.7,2
12.8,92.8,2
12.8,92.9,2
12.7,92.8,2
12.7,92.9,2
12.6,92.8,2
12.6,92.9,2
12.5,92.8,2
12.5,92.9,2
12.4,92.8,2
12.3,92.8,2
12.2,92.8,2
12.1,92.8,2
12.2,92.7,3
12.2,93.1,3
12.1,92.7,3
12.1,93,3
12.1,93.1,3
12,93,3
11.9,92.6,3
11.9,92.7,3
11.8,92.6,3
11.8,92.7,3
11.7,92.7,3
11.6,92.7,3
10.8,92.5,3
10.7,92.5,3
10.6,92.5,3
18.5,82.5,4
18.4,82.4,4
18.4,82.5,4
18.4,82.8,4
18.3,82.4,4
18.3,82.5,4
18.3,82.7,4
18.3,82.8,4
18.3,82.9,4
18.3,83,4
18.3,83.1,4
18.3,83.2,4
18.2,82.4,4
18.2,82.5,4
18.2,82.6,4
18.2,82.7,4
18.2,82.8,4
18.2,82.9,4
18.2,83,4
18.2,83.1,4
18.2,83.2,4
18.1,82.4,4
18.1,82.5,4
18.1,82.6,4
18.1,82.7,4
18.1,82.8,4
18.1,82.9,4
18.1,83,4
18.1,83.1,4
18,82,4
18,82.1,4
18,82.2,4
18,82.3,4
18,82.4,4
18,82.5,4
18,82.6,4
18,82.7,4
18,82.8,4
17.9,81.7,4
17.9,81.8,4
17.9,81.9,4
17.9,82,4
17.9,82.1,4
17.9,82.2,4
17.9,82.3,4
17.9,82.4,4
17.9,82.5,4
17.9,82.6,4
17.9,82.7,4
17.8,81.1,4
17.8,81.2,4
17.8,81.3,4
17.8,81.4,4
17.8,81.5,4
17.8,81.6,4
17.8,81.7,4
17.8,81.8,4
17.8,81.9,4
17.8,82,4
17.8,82.1,4
17.8,82.2,4
17.8,82.3,4
17.8,82.4,4
17.8,82.5,4
17.8,82.6,4
17.7,80.9,4
17.7,81,4
17.7,81.1,4
17.7,81.2,4
17.7,81.3,4
17.7,81.4,4
17.7,81.5,4
17.7,81.6,4
17.7,81.7,4
17.7,81.8,4
17.7,81.9,4
17.7,82,4
17.7,82.1,4
17.7,82.2,4
17.7,82.3,4
17.7,82.4,4
17.7,82.5,4
17.6,81.2,4
17.6,81.3,4
17.6,81.4,4
17.6,81.5,4
17.6,81.6,4
17.6,81.7,4
17.6,81.8,4
17.6,81.9,4
17.6,82,4
17.6,82.1,4
17.6,82.2,4
17.6,82.3,4
17.6,82.4,4
17.5,81.3,4
17.5,81.4,4
17.5,81.5,4
17.5,81.6,4
17.5,81.7,4
17.5,81.8,4
17.5,81.9,4
17.5,82,4
17.5,82.1,4
17.5,82.2,4
17.5,82.3,4
17.4,81.7,4
17.4,81.8,4
17.4,81.9,4
17.4,82,4
17.4,82.1,4
17.4,82.2,4
17.3,81.7,4
17.3,81.8,4
18,82.9,5
18,83,5
17.9,82.8,5
17.9,82.9,5
17.9,83,5
17.9,83.1,5
17.8,82.7,5
17.8,82.8,5
17.8,82.9,5
17.8,83,5
17.8,83.1,5
17.7,82.6,5
17.7,82.7,5
17.7,82.8,5
17.7,82.9,5
17.7,83,5
17.7,83.1,5
17.6,82.5,5
17.6,82.6,5
17.6,82.7,5
17.6,82.8,5
17.6,82.9,5
17.6,83,5
17.6,83.1,5
17.5,82.4,5
17.5,82.6,5
17.5,82.7,5
17.5,82.8,5
17.5,82.9,5
17.4,82.6,5
17.4,82.7,5
17.3,82.6,5
15.2,77.4,6
15.2,77.5,6
15.1,77.2,6
15.1,77.3,6
15.1,77.4,6
15.1,77.5,6
15.1,77.6,6
15.1,77.7,6
15.1,77.8,6
15.1,77.9,6
15.1,78,6
15,76.8,6
15,76.9,6
15,77,6
15,77.1,6
15,77.2,6
15,77.3,6
15,77.4,6
15,77.5,6
15,77.6,6
15,77.7,6
15,77.8,6
15,77.9,6
15,78,6
14.9,76.9,6
14.9,77,6
14.9,77.1,6
14.9,77.2,6
14.9,77.3,6
14.9,77.4,6
14.9,77.5,6
14.9,77.6,6
14.9,77.7,6
14.9,77.8,6
14.9,77.9,6
14.9,78,6
14.9,78.1,6
14.8,76.9,6
14.8,77,6
14.8,77.1,6
14.8,77.2,6
14.8,77.3,6
14.8,77.4,6
14.8,77.5,6
14.8,77.6,6
14.8,77.7,6
14.8,77.8,6
14.8,77.9,6
14.8,78,6
14.7,76.8,6
14.7,76.9,6
14.7,77,6
14.7,77.1,6
14.7,77.2,6
14.7,77.3,6
14.7,77.4,6
14.7,77.5,6
14.7,77.6,6
14.7,77.7,6
14.7,77.8,6
14.7,77.9,6
14.7,78,6
14.7,78.1,6
14.6,76.8,6
14.6,76.9,6
14.6,77,6
14.6,77.1,6
14.6,77.2,6
14.6,77.3,6
14.6,77.4,6
14.6,77.5,6
14.6,77.6,6
14.6,77.7,6
14.6,78,6
14.5,76.9,6
14.5,77,6
14.5,77.1,6
14.5,77.2,6
14.5,77.3,6
14.5,77.5,6
14.5,77.6,6
14.4,77,6
14.4,77.1,6
14.4,77.2,6
14.4,77.3,6
14.3,77,6
14.3,77.1,6
14.3,77.3,6
14.4,79.3,7
14.3,78.8,7
14.3,78.9,7
14.3,79.1,7
14.3,79.2,7
14.3,79.3,7
14.3,79.4,7
14.2,78.7,7
14.2,78.8,7
14.2,78.9,7
14.2,79,7
14.2,79.1,7
14.2,79.2,7
14.2,79.3,7
14.2,79.4,7
14.1,78.5,7
14.1,78.6,7
14.1,78.7,7
14.1,78.8,7
14.1,78.9,7
14.1,79,7
14.1,79.1,7
14.1,79.2,7
14.1,79.3,7
14.1,79.4,7
14,78.5,7
14,78.6,7
14,78.7,7
14,78.8,7
14,78.9,7
14,79,7
14,79.1,7
14,79.2,7
14,79.3,7
14,79.4,7
13.9,78.3,7
13.9,78.4,7
13.9,78.5,7
