pincode,centroid_x,centroid_y,lat_0_5,lon_0_5,lat_0_25,lon_0_25,lat_0_1,lon_0_1,stcode11,dtcode11,sdtcode11,stname,dtname,sdtname,subdt_lgd,dist_lgd,state_lgd,geometry
110001,77.21872027,28.62344968,28.5,77,28.5,77.25,28.6,77.2,07,094,00443,DELHI,New Delhi,Chanakya Puri,443,79,7,POINT (77.2187202732083 28.623449676430667)
110002,77.24600589,28.63289733,28.5,77,28.75,77.25,28.6,77.2,07,095,00435,DELHI,Central,Kotwali,435,77,7,POINT (77.24600589375794 28.632897325817876)
110003,77.22578733,28.59108246,28.5,77,28.5,77.25,28.6,77.2,07,094,00443,DELHI,New Delhi,Chanakya Puri,443,79,7,POINT (77.225787332171 28.591082461588435)
110004,77.19092448,28.61601865,28.5,77,28.5,77.25,28.6,77.2,07,094,00443,DELHI,New Delhi,Chanakya Puri,443,79,7,POINT (77.19092447982587 28.616018647466262)
110005,77.18981858,28.65240908,28.5,77,28.75,77.25,28.7,77.2,07,095,00447,DELHI,Central,Karol Bagh,447,77,7,POINT (77.18981858125856 28.65240908218815)
110006,77.2296711,28.65723914,28.5,77,28.75,77.25,28.7,77.2,07,095,00435,DELHI,Central,Kotwali,435,77,7,POINT (77.22967110471905 28.657239138836356)
110007,77.20199117,28.6777138,28.5,77,28.75,77.25,28.7,77.2,07,095,00433,DELHI,Central,Civil Lines,433,77,7,POINT (77.20199117399456 28.677713796060573)
110008,77.16667819,28.65423756,28.5,77,28.75,77.25,28.7,77.2,07,096,00448,DELHI,West,Patel Nagar,448,85,7,POINT (77.16667818837897 28.654237563862402)
110010,77.1307795,28.589626,28.5,77,28.5,77.25,28.6,77.1,07,094,00452,DELHI,New Delhi,Delhi Cantonment,452,79,7,POINT (77.13077949722268 28.589625999626335)
110011,77.20909136,28.60520543,28.5,77,28.5,77.25,28.6,77.2,07,094,00443,DELHI,New Delhi,Chanakya Puri,443,79,7,POINT (77.2090913571061 28.60520542989477)
110012,77.15932989,28.63209044,28.5,77,28.75,77.25,28.6,77.2,07,094,00452,DELHI,New Delhi,Delhi Cantonment,452,79,7,POINT (77.15932989277616 28.63209044117142)
110013,77.2579818,28.59095091,28.5,77.5,28.5,77.25,28.6,77.3,07,703,00455,DELHI,South East,Defence Colony,455,670,7,POINT (77.25798179756318 28.590950908212854)
110014,77.2598564,28.58118403,28.5,77.5,28.5,77.25,28.6,77.3,07,703,00455,DELHI,South East,Defence Colony,455,670,7,POINT (77.25985640039005 28.58118402693312)
110015,77.14526721,28.65677266,28.5,77,28.75,77.25,28.7,77.1,07,096,00448,DELHI,West,Patel Nagar,448,85,7,POINT (77.14526721266594 28.656772658187048)
110016,77.19506097,28.5480389,28.5,77,28.5,77.25,28.5,77.2,07,098,,DELHI,South,Mehrauli,6080,83,7,POINT (77.19506097162883 28.548038904869887)
110017,77.21514525,28.53301302,28.5,77,28.5,77.25,28.5,77.2,07,098,00454,DELHI,South,Hauz Khas,454,83,7,POINT (77.21514525015105 28.533013016090592)
110018,77.08682469,28.64262228,28.5,77,28.75,77,28.6,77.1,07,096,00449,DELHI,West,Rajouri Garden,449,85,7,POINT (77.08682469046417 28.64262227582916)
110019,77.25766036,28.53486673,28.5,77.5,28.5,77.25,28.5,77.3,07,703,00456,DELHI,South East,Kalkaji,456,670,7,POINT (77.25766036032442 28.534866733548043)
110020,77.27648397,28.53561191,28.5,77.5,28.5,77.25,28.5,77.3,07,703,,DELHI,South East,Sarita Vihar,6081,670,7,POINT (77.27648396627617 28.535611907778833)
110021,77.17985936,28.59085221,28.5,77,28.5,77.25,28.6,77.2,07,094,00443,DELHI,New Delhi,Chanakya Puri,443,79,7,POINT (77.17985935704479 28.590852205085096)
110022,77.17577458,28.56501151,28.5,77,28.5,77.25,28.6,77.2,07,094,00453,DELHI,New Delhi,Vasant Vihar,453,79,7,POINT (77.17577457724661 28.565011509877515)
110023,77.1996568,28.57519058,28.5,77,28.5,77.25,28.6,77.2,07,094,00453,DELHI,New Delhi,Vasant Vihar,453,79,7,POINT (77.19965680056794 28.57519058452068)
110024,77.24007069,28.5703047,28.5,77,28.5,77.25,28.6,77.2,07,703,00455,DELHI,South East,Defence Colony,455,670,7,POINT (77.2400706900248 28.570304702986643)
110025,77.28688429,28.56082756,28.5,77.5,28.5,77.25,28.6,77.3,07,703,00455,DELHI,South East,Defence Colony,455,670,7,POINT (77.28688428741454 28.560827560778897)
110026,77.1318543,28.66795549,28.5,77,28.75,77.25,28.7,77.1,07,096,00448,DELHI,West,Patel Nagar,448,85,7,POINT (77.1318543043304 28.667955488106276)
110027,77.11685343,28.6489796,28.5,77,28.75,77,28.6,77.1,07,096,00448,DELHI,West,Patel Nagar,448,85,7,POINT (77.1168534314658 28.64897960136137)
110028,77.13853085,28.6309044,28.5,77,28.75,77.25,28.6,77.1,07,094,00452,DELHI,New Delhi,Delhi Cantonment,452,79,7,POINT (77.13853084836025 28.630904403685985)
110029,77.20063618,28.56503936,28.5,77,28.5,77.25,28.6,77.2,07,094,00453,DELHI,New Delhi,Vasant Vihar,453,79,7,POINT (77.20063617791135 28.565039361690186)
110030,77.16271283,28.49957871,28.5,77,28.5,77.25,28.5,77.2,07,098,,DELHI,South,Mehrauli,6080,83,7,POINT (77.16271282598034 28.499578710507382)
110031,77.26670514,28.65741492,28.5,77.5,28.75,77.25,28.7,77.3,07,095,,DELHI,Central,NAZUL,0,77,7,POINT (77.26670514305505 28.657414915667108)
110032,77.29141472,28.67399691,28.5,77.5,28.75,77.25,28.7,77.3,07,702,00440,DELHI,Shahdara,Vivek Vihar,440,671,7,POINT (77.29141471775125 28.67399691216699)
110033,77.18915793,28.7145245,28.5,77,28.75,77.25,28.7,77.2,07,091,00432,DELHI,North,Model Town,432,80,7,POINT (77.1891579332018 28.714524504973067)
110034,77.13450867,28.69401797,28.5,77,28.75,77.25,28.7,77.1,07,090,00431,DELHI,North West,Saraswati Vihar,431,82,7,POINT (77.13450866661569 28.69401796629923)
110035,77.15729357,28.68107335,28.5,77,28.75,77.25,28.7,77.2,07,090,00431,DELHI,North West,Saraswati Vihar,431,82,7,POINT (77.15729357059409 28.681073348299353)
110036,77.16266033,28.8200146,29,77,28.75,77.25,28.8,77.2,07,091,,DELHI,North,Alipur,6076,80,7,POINT (77.16266032866154 28.82001459572106)
110037,77.10900013,28.54759818,28.5,77,28.5,77,28.5,77.1,07,094,00453,DELHI,New Delhi,Vasant Vihar,453,79,7,POINT (77.1090001306492 28.54759817835809)
110038,77.11445138,28.51020521,28.5,77,28.5,77,28.5,77.1,07,094,00453,DELHI,New Delhi,Vasant Vihar,453,79,7,POINT (77.1144513795317 28.510205213065493)
110039,77.02405873,28.7999842,29,77,28.75,77,28.8,77,07,091,00430,DELHI,North,Narela,430,80,7,POINT (77.02405872565679 28.799984198520622)
110040,77.08313459,28.84563723,29,77,28.75,77,28.8,77.1,07,091,00430,DELHI,North,Narela,430,80,7,POINT (77.08313459396335 28.845637234120503)
110041,77.02035443,28.67045493,28.5,77,28.75,77,28.7,77,07,096,00450,DELHI,West,Punjabi Bagh,450,85,7,POINT (77.0203544327883 28.670454932624896)
110042,77.13210575,28.75108972,29,77,28.75,77.25,28.8,77.1,07,091,,DELHI,North,Alipur,6076,80,7,POINT (77.13210574876902 28.751089715544975)
110043,76.96900505,28.59166651,28.5,77,28.5,77,28.6,77,07,097,00451,DELHI,South West,Najafgarh,451,84,7,POINT (76.96900504942946 28.59166650592981)
110044,77.29786225,28.50546943,28.5,77.5,28.5,77.25,28.5,77.3,07,703,,DELHI,South East,Sarita Vihar,6081,670,7,POINT (77.29786225140165 28.505469430288148)
110045,77.08611389,28.59825255,28.5,77,28.5,77,28.6,77.1,07,097,,DELHI,South West,Dwarka,6086,84,7,POINT (77.08611388870574 28.598252550762542)
110046,77.10221657,28.60602779,28.5,77,28.5,77,28.6,77.1,07,094,00452,DELHI,New Delhi,Delhi Cantonment,452,79,7,POINT (77.1022165677947 28.606027789829902)
